GO_id,k_in_fg,K_in_bg,n_fg,N_bg,fold_enrichment,p_value,q_bh
GO:0005985,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0004427,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0006904,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0030955,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0055085,43,581,1193,15788,0.9794426177948533,0.5809090689063023,0.7844294155532899
GO:0006413,2,26,1193,15788,1.0179895544522535,0.5949944955207035,0.8015898064653922
GO:0008168,11,152,1193,15788,0.9577138571491595,0.6041067524667758,0.8040270874912882
GO:0016887,12,166,1193,15788,0.9566648824972985,0.6064409985638735,0.8040270874912882
GO:0006486,3,41,1193,15788,0.9683315274058022,0.608090434971887,0.8040270874912882
GO:0005643,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0006094,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0001104,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0006614,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0016998,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0015095,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0016226,1,12,1193,15788,1.1028220173232748,0.6106185097442429,0.8040270874912882
GO:0046983,21,290,1193,15788,0.9583143047085009,0.6136953466681399,0.806254383207353
GO:0006397,2,27,1193,15788,0.9802862376206887,0.6158340826279464,0.8072419731744702
GO:0050660,8,112,1193,15788,0.9452760148485212,0.6178175779357046,0.8080220906934383
GO:0050661,3,42,1193,15788,0.9452760148485211,0.6246290604672218,0.8150989085020697
GO:0051287,4,57,1193,15788,0.9286922251143366,0.6337807307055188,0.8158814932346786
GO:0006139,2,28,1193,15788,0.9452760148485212,0.635839854352989,0.8158814932346786
GO:0006886,8,114,1193,15788,0.9286922251143366,0.6378577968708998,0.8158814932346786
GO:0015693,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0005852,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0008138,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0051539,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0016311,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0004175,1,13,1193,15788,1.0179895544522535,0.6400640040314587,0.8158814932346786
GO:0005622,22,308,1193,15788,0.9452760148485211,0.6407522514177773,0.8158814932346786
GO:0042626,5,72,1193,15788,0.9190183477693956,0.6426550157917058,0.8158814932346786
GO:0043531,9,129,1193,15788,0.923292851712509,0.6470692529547634,0.8158814932346786
GO:0015986,2,29,1193,15788,0.9126802901985721,0.6550187283691103,0.8158814932346786
GO:0015078,2,29,1193,15788,0.9126802901985721,0.6550187283691103,0.8158814932346786
GO:0015991,2,29,1193,15788,0.9126802901985721,0.6550187283691103,0.8158814932346786
GO:0006855,4,59,1193,15788,0.8972111327375795,0.6608902169315264,0.8158814932346786
GO:0015238,4,59,1193,15788,0.8972111327375795,0.6608902169315264,0.8158814932346786
GO:0015297,4,59,1193,15788,0.8972111327375795,0.6608902169315264,0.8158814932346786
GO:0009055,9,131,1193,15788,0.9091967776405623,0.6651937942008339,0.8158814932346786
GO:0005681,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0016773,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0015992,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
GO:0003697,1,14,1193,15788,0.9452760148485212,0.6672845202400464,0.8158814932346786
