group,trait,n,rep,ST_r,MT_r,delta_r
oxalate_triplet,Insoluble_Oxalate,41,44,0.3317311571233518,0.3317311571233518,0.0
oxalate_triplet,Insoluble_Oxalate,41,45,0.2714281462485485,0.2714281462485485,0.0
oxalate_triplet,Insoluble_Oxalate,41,46,0.15528315778925839,0.15528315778925839,0.0
oxalate_triplet,Insoluble_Oxalate,41,47,0.2558028711492306,0.2558028711492306,0.0
oxalate_triplet,Insoluble_Oxalate,41,48,0.23969747317088397,0.23969747317088397,0.0
oxalate_triplet,Insoluble_Oxalate,41,49,0.3081819618124443,0.3081819618124443,0.0
protein_oxalate_full,Crude_Protein,40,0,-0.005466112366229993,-0.005466112366230083,-9.020562075079397e-17
protein_oxalate_full,Crude_Protein,40,1,-0.058362333903812354,-0.0583623339038124,-4.85722573273506e-17
protein_oxalate_full,Crude_Protein,40,2,-0.09828307790262454,-0.09828307790262444,9.71445146547012e-17
protein_oxalate_full,Crude_Protein,40,3,-0.020688204628645217,-0.02068820462864518,3.8163916471489756e-17
protein_oxalate_full,Crude_Protein,40,4,-0.11384563043424874,-0.11384563043424883,-9.71445146547012e-17
protein_oxalate_full,Crude_Protein,40,5,-0.010362720552919653,-0.010362720552919764,-1.1102230246251565e-16
protein_oxalate_full,Crude_Protein,40,6,-0.08042963667401598,-0.08042963667401598,0.0
protein_oxalate_full,Crude_Protein,40,7,-0.17115342477587067,-0.17115342477587067,0.0
protein_oxalate_full,Crude_Protein,40,8,-0.00445278807126355,-0.004452788071263564,-1.3877787807814457e-17
protein_oxalate_full,Crude_Protein,40,9,-0.155660720865824,-0.15566072086582414,-1.3877787807814457e-16
protein_oxalate_full,Crude_Protein,40,10,-0.2475112281618763,-0.24751122816187643,-1.3877787807814457e-16
protein_oxalate_full,Crude_Protein,40,11,-0.024260748251629924,-0.024260748251629972,-4.85722573273506e-17
protein_oxalate_full,Crude_Protein,40,12,-0.05471044726002963,-0.05471044726002984,-2.0816681711721685e-16
protein_oxalate_full,Crude_Protein,40,13,-0.06569146265233494,-0.06569146265233504,-9.71445146547012e-17
protein_oxalate_full,Crude_Protein,40,14,-0.05737759001802172,-0.057377590018021576,1.457167719820518e-16
protein_oxalate_full,Crude_Protein,40,15,-0.044431605741575605,-0.04443160574157555,5.551115123125783e-17
protein_oxalate_full,Crude_Protein,40,16,-0.01474318389847385,-0.014743183898473776,7.45931094670027e-17
protein_oxalate_full,Crude_Protein,40,17,-0.19603365795826783,-0.19603365795826774,8.326672684688674e-17
protein_oxalate_full,Crude_Protein,40,18,-0.046579813200879894,-0.04657981320087987,2.0816681711721685e-17
protein_oxalate_full,Crude_Protein,40,19,-0.18538922930516116,-0.18538922930516122,-5.551115123125783e-17
protein_oxalate_full,Crude_Protein,40,20,0.04458328274744203,0.04458328274744202,-6.938893903907228e-18
protein_oxalate_full,Crude_Protein,40,21,-0.09358341141855842,-0.09358341141855844,-2.7755575615628914e-17
protein_oxalate_full,Crude_Protein,40,22,-0.019450027022164758,-0.019450027022164744,1.3877787807814457e-17
protein_oxalate_full,Crude_Protein,40,23,-0.1177428062069492,-0.11774280620694935,-1.5265566588595902e-16
protein_oxalate_full,Crude_Protein,40,24,-0.23751626279205457,-0.2375162627920546,-2.7755575615628914e-17
protein_oxalate_full,Crude_Protein,40,25,-0.1853396557836914,-0.1853396557836914,0.0
protein_oxalate_full,Crude_Protein,40,26,-0.07459950009095487,-0.07459950009095484,2.7755575615628914e-17
protein_oxalate_full,Crude_Protein,40,27,-0.12720066715180928,-0.12720066715180928,0.0
protein_oxalate_full,Crude_Protein,40,28,-0.061903569435331124,-0.061903569435331124,0.0
protein_oxalate_full,Crude_Protein,40,29,-0.14809871979343178,-0.1480987197934317,8.326672684688674e-17
protein_oxalate_full,Crude_Protein,40,30,-0.057611591716336355,-0.05761159171633641,-5.551115123125783e-17
protein_oxalate_full,Crude_Protein,40,31,-0.125261550459677,-0.12526155045967696,2.7755575615628914e-17
protein_oxalate_full,Crude_Protein,40,32,0.026008069042325388,0.02600806904232529,-9.71445146547012e-17
protein_oxalate_full,Crude_Protein,40,33,-0.14272118850426502,-0.14272118850426516,-1.3877787807814457e-16
protein_oxalate_full,Crude_Protein,40,34,-0.026156662689753224,-0.02615666268975307,1.5265566588595902e-16
protein_oxalate_full,Crude_Protein,40,35,0.03251825793208127,0.032518257932081254,-1.3877787807814457e-17
protein_oxalate_full,Crude_Protein,40,36,-0.02066585552437645,-0.020665855524376338,1.1102230246251565e-16
protein_oxalate_full,Crude_Protein,40,37,-0.07740464355600583,-0.07740464355600583,0.0
protein_oxalate_full,Crude_Protein,40,38,0.06368000612677714,0.06368000612677717,2.7755575615628914e-17
protein_oxalate_full,Crude_Protein,40,39,0.04565470477430422,0.04565470477430423,6.938893903907228e-18
protein_oxalate_full,Crude_Protein,40,40,0.05369117629740368,0.05369117629740362,-5.551115123125783e-17
protein_oxalate_full,Crude_Protein,40,41,-0.10624775903407922,-0.10624775903407933,-1.1102230246251565e-16
protein_oxalate_full,Crude_Protein,40,42,-0.12556087659555093,-0.12556087659555107,-1.3877787807814457e-16
protein_oxalate_full,Crude_Protein,40,43,-0.047843198115832125,-0.04784319811583211,1.3877787807814457e-17
protein_oxalate_full,Crude_Protein,40,44,-0.1625659828170987,-0.16256598281709875,-5.551115123125783e-17
protein_oxalate_full,Crude_Protein,40,45,0.020363147085789526,0.02036314708578968,1.5265566588595902e-16
protein_oxalate_full,Crude_Protein,40,46,-0.14869010037488256,-0.14869010037488256,0.0
protein_oxalate_full,Crude_Protein,40,47,0.015319505809289563,0.015319505809289643,7.979727989493313e-17
protein_oxalate_full,Crude_Protein,40,48,0.05255709995254507,0.05255709995254523,1.6653345369377348e-16
protein_oxalate_full,Crude_Protein,40,49,-0.11135831471784988,-0.11135831471784984,4.163336342344337e-17
protein_oxalate_full,Total_Oxalate,40,0,0.21426596413634788,0.2142659641363478,-8.326672684688674e-17
protein_oxalate_full,Total_Oxalate,40,1,0.30843377470610367,0.30843377470610356,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,2,0.23042794613809198,0.23042794613809203,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,3,0.23201975635639266,0.23201975635639271,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,4,0.1761600181309435,0.17616001813094354,2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,5,0.1236518992035246,0.12365189920352455,-4.163336342344337e-17
protein_oxalate_full,Total_Oxalate,40,6,0.17876349864335178,0.17876349864335178,0.0
protein_oxalate_full,Total_Oxalate,40,7,0.1012567248459332,0.1012567248459332,0.0
protein_oxalate_full,Total_Oxalate,40,8,0.2567469040865387,0.2567469040865388,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,9,0.3525113571852335,0.3525113571852334,-1.1102230246251565e-16
protein_oxalate_full,Total_Oxalate,40,10,0.18178231529384814,0.1817823152938481,-2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,11,0.21888394293635333,0.21888394293635338,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,12,0.19281723065646772,0.19281723065646775,2.7755575615628914e-17
protein_oxalate_full,Total_Oxalate,40,13,0.30328732000659864,0.30328732000659864,0.0
protein_oxalate_full,Total_Oxalate,40,14,0.1987926168415176,0.19879261684151767,5.551115123125783e-17
protein_oxalate_full,Total_Oxalate,40,15,0.33674108774053196,0.3367410877405321,1.1102230246251565e-16
