cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Mass_of_Seeds,0.249,0.03357175507792859,0.3079184301617647,1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Seed_Coat_Tannin,1055.6167426509046,126.42203613927833,-833.7460692264711,-1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Tannin,404.37339682190753,168.2816362244565,-109.03912524798642,-1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Phenol,136.81851311737148,105.91988507096242,322.7079114169105,1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Flavonoid,62.11802259209109,32.39758792765932,118.9757894051332,1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Antioxidant,245.844045639547,76.39125132256801,379.91069171065385,1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Seed_Length,8.216999999999999,0.37480388189710684,,0
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Seed_Width,6.488,0.2668137309389179,,0
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Seed_Thickness,6.21435,0.2983404811801888,,0
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Mass_of_Seeds,0.2515,0.033560977796673046,0.3103995160331612,1
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,Seed_Coat_Tannin,479.4180326521355,126.38145184938317,-257.61858465646804,-1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Tannin,853.5792983479989,168.09488992094848,-558.5727665367344,-1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Phenol,151.27333382073402,105.80234314868984,336.9564460466847,1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Flavonoid,149.93797817760452,32.361635521182855,206.73264851728044,1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Antioxidant,245.2316581733055,76.3064780571963,379.149527163685,1
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Seed_Length,7.677,0.37438795273778147,,0
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,Seed_Width,5.922499999999999,0.26651764112724313,,0
