scenario,lambda,sample,contribution
balanced,0.06951927961775606,TSs49,8.742035026100814e-15
balanced,0.06951927961775606,TSs49A,0.0
balanced,0.06951927961775606,TSs51,1.0263698477777847e-15
balanced,0.06951927961775606,TSs53,1.2528835279889868e-15
balanced,0.06951927961775606,TSs56,0.0
balanced,0.06951927961775606,TSs56A,1.1344662433827617e-15
balanced,0.06951927961775606,TSs58,9.365275611837405e-16
balanced,0.06951927961775606,TSs59B,1.9991379154235023e-15
balanced,0.06951927961775606,TSs5A,0.0
balanced,0.06951927961775606,TSs60,0.0
balanced,0.06951927961775606,TSs60B,7.242349421709866e-16
balanced,0.06951927961775606,TSs61,0.0
balanced,0.06951927961775606,TSs63A,8.300950409844355e-16
balanced,0.06951927961775606,TSs68,9.172910941934528e-15
balanced,0.06951927961775606,TSs7,0.0
balanced,0.06951927961775606,TSs78,0.0
balanced,0.06951927961775606,TSs82,6.936801698396688e-16
balanced,0.06951927961775606,TSs9,1.3033621640256254e-15
balanced,0.06951927961775606,TSs95,0.0
balanced,0.06951927961775606,TSs96,8.26267748653357e-16
balanced,0.06951927961775606,TSs98,0.0
balanced,0.11288378916846889,TSs10,6.342278223525621e-16
balanced,0.11288378916846889,TSs104,0.0
balanced,0.11288378916846889,TSs10A,2.5010936091565297e-15
balanced,0.11288378916846889,TSs11,0.0
balanced,0.11288378916846889,TSs111,0.0
balanced,0.11288378916846889,TSs116,0.0
balanced,0.11288378916846889,TSs119A,7.417307031404144e-16
balanced,0.11288378916846889,TSs120,0.0
balanced,0.11288378916846889,TSs131,0.0
balanced,0.11288378916846889,TSs132,0.0
balanced,0.11288378916846889,TSs133,0.0
balanced,0.11288378916846889,TSs136,0.0
balanced,0.11288378916846889,TSs138B,0.0
balanced,0.11288378916846889,TSs15,0.0
balanced,0.11288378916846889,TSs151B,0.0
balanced,0.11288378916846889,TSs155,0.0
balanced,0.11288378916846889,TSs156A,0.0
balanced,0.11288378916846889,TSs157A,0.9999999999999138
balanced,0.11288378916846889,TSs158,0.0
balanced,0.11288378916846889,TSs161,0.0
balanced,0.11288378916846889,TSs166,0.0
balanced,0.11288378916846889,TSs168,0.0
balanced,0.11288378916846889,TSs195,0.0
balanced,0.11288378916846889,TSs1A,0.0
balanced,0.11288378916846889,TSs2,0.0
balanced,0.11288378916846889,TSs201,0.0
balanced,0.11288378916846889,TSs209,0.0
balanced,0.11288378916846889,TSs217,0.0
balanced,0.11288378916846889,TSs224,0.0
balanced,0.11288378916846889,TSs22A,1.162897479176966e-14
balanced,0.11288378916846889,TSs22B,6.726349779353506e-16
balanced,0.11288378916846889,TSs23,0.0
balanced,0.11288378916846889,TSs24,0.0
balanced,0.11288378916846889,TSs266,0.0
balanced,0.11288378916846889,TSs269,0.0
balanced,0.11288378916846889,TSs27,0.0
balanced,0.11288378916846889,TSs274,0.0
balanced,0.11288378916846889,TSs277,0.0
balanced,0.11288378916846889,TSs282,2.0539125955563626e-14
balanced,0.11288378916846889,TSs287,1.2546894543734576e-16
balanced,0.11288378916846889,TSs291,0.0
balanced,0.11288378916846889,TSs293,6.585373215581727e-17
balanced,0.11288378916846889,TSs294,0.0
balanced,0.11288378916846889,TSs296,3.726321758094234e-16
balanced,0.11288378916846889,TSs297,2.7782150323190824e-15
balanced,0.11288378916846889,TSs3,0.0
balanced,0.11288378916846889,TSs30,0.0
balanced,0.11288378916846889,TSs303,0.0
balanced,0.11288378916846889,TSs311,0.0
balanced,0.11288378916846889,TSs314A,0.0
balanced,0.11288378916846889,TSs314B,0.0
balanced,0.11288378916846889,TSs317,0.0
balanced,0.11288378916846889,TSs325,5.379912022929752e-16
balanced,0.11288378916846889,TSs33,0.0
balanced,0.11288378916846889,TSs331,2.0084146005343406e-15
balanced,0.11288378916846889,TSs333,2.0497857267313502e-15
balanced,0.11288378916846889,TSs334,2.9189959123169912e-15
balanced,0.11288378916846889,TSs336,0.0
balanced,0.11288378916846889,TSs338,0.0
balanced,0.11288378916846889,TSs357,0.0
balanced,0.11288378916846889,TSs358,0.0
balanced,0.11288378916846889,TSs361,0.0
balanced,0.11288378916846889,TSs363,0.0
balanced,0.11288378916846889,TSs365,0.0
balanced,0.11288378916846889,TSs368,9.34602722082783e-16
balanced,0.11288378916846889,TSs371,0.0
balanced,0.11288378916846889,TSs378,0.0
balanced,0.11288378916846889,TSs38,9.002944975007327e-15
balanced,0.11288378916846889,TSs383,0.0
balanced,0.11288378916846889,TSs3A,0.0
balanced,0.11288378916846889,TSs4,5.425562735661849e-18
balanced,0.11288378916846889,TSs417,0.0
balanced,0.11288378916846889,TSs44C,0.0
balanced,0.11288378916846889,TSs48,0.0
balanced,0.11288378916846889,TSs49,8.742035026100814e-15
balanced,0.11288378916846889,TSs49A,0.0
balanced,0.11288378916846889,TSs51,1.0263698477777847e-15
balanced,0.11288378916846889,TSs53,1.2528835279889868e-15
balanced,0.11288378916846889,TSs56,0.0
balanced,0.11288378916846889,TSs56A,1.1344662433827617e-15
balanced,0.11288378916846889,TSs58,9.365275611837405e-16
balanced,0.11288378916846889,TSs59B,1.9991379154235023e-15
balanced,0.11288378916846889,TSs5A,0.0
balanced,0.11288378916846889,TSs60,0.0
balanced,0.11288378916846889,TSs60B,7.242349421709866e-16
balanced,0.11288378916846889,TSs61,0.0
balanced,0.11288378916846889,TSs63A,8.300950409844355e-16
