PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,cluster,Tannin,Phenol,Flavonoid,Antioxidant
-23.40700570349236,-4.812605954423713,0.06525988269286025,-2.2752087874907745,0.7253765020644254,-0.8753950408893921,-4.356179810675436,-0.19871108327885895,2.423433320625157,2.147285800513502,TSs357,0,384.017573600314,125.058583531967,148.272566218671,318.54422830517
9.732164007204254,-11.220264008209824,-0.615297417089065,2.3149815098364037,-7.94862138896007,0.4506018477860552,-9.597710395865851,-5.025820547561141,2.377398188878975,-12.660843524729893,TSs161,1,974.448162462745,114.018714636866,129.44050511229,251.782120235792
7.759763802271475,-5.354088951207927,-0.6200009043156226,5.257960085571743,-1.7695503019257894,-1.0767148607763188,-6.686042836937503,-0.21734776352428356,-0.39480236840637145,1.3686482160198175,TSs11,1,128.371590788144,118.426964757627,19.4751659921598,113.392693658727
-6.6957806426539825,-3.713534836573156,-7.180999423793368,-0.42503328948864744,6.168736529358298,0.12871090513565103,2.192081360217623,9.979378053814992,-0.5504058347717334,1.5770127171408477,TSs5A,1,337.484804011403,299.315902479353,102.336456678083,378.175733636011
2.0767554305060876,3.0729254717283676,-3.0189767574963544,-4.456387887763001,1.9008153129748593,2.495143063484989,2.495868931633822,-5.346113982884475,-4.401700757300855,-8.286799315369938,TSs131,1,504.174690344729,156.692450594658,85.2353163965832,448.999873075738
1.9625690058871912,-2.0483529763326267,-2.9974419252932756,-3.694184986452269,3.4341431223446235,3.493946956625458,-4.412686600904443,5.400988510078776,-0.5902434228762359,0.08486802429732584,TSs294,1,666.994154095296,111.150816945258,115.797105078483,167.500910206399
5.674328668295019,-0.3753149833074084,-6.261463098199783,6.129734157416045,3.3930762148183082,-4.029529031768201,-4.2986744170710445,-1.0476400971456963,-1.061831008423321,3.6077781905103645,TSs378,1,710.264278405152,137.10917059077,76.310481323036,244.233768602207
2.3720065035558155,3.7796784387690305,-8.610790027384246,-2.1936062727184105,1.864227043924874,-1.3369996575953396,4.967207456219813,-6.727574358567699,-1.6517170827471075,-1.471726804749405,TSs336,1,,,,
-16.00646482025574,-7.1814449668731974,3.510706075345076,-1.1458652353361172,5.008276509649445,1.6900062845063009,-3.7875233622797477,-3.522750813658177,-0.4087975079991431,-0.7243848162265089,TSs111,0,791.786905291447,197.550694835704,89.5486248315051,305.344557787534
8.149184840237805,3.6959258563047506,16.35619085726731,-2.8399773497524143,8.43813091269823,0.714368993596405,4.843880348128896,-1.6092693564220142,1.952689692691804,4.374506382852333,TSs56,1,665.975302955991,112.777425355133,156.045644268136,205.237639680723
4.534879378036723,5.959199748717087,-8.93400266517113,1.1630743497601508,-1.4103036053672997,7.606578126877465,5.5032732716713495,4.930647543781693,12.234424245748185,0.7936240178621944,TSs3A,1,825.279335127708,113.317097195181,75.6605824448428,214.716345120326
6.093230931253871,-6.432860143365851,-9.175068940482559,-9.120537853276199,14.515300075736775,0.9878892322838535,0.5381862724896812,-7.229292283727078,-6.990660094223289,-4.09244436039371,TSs95,1,759.238785124987,103.771931691614,157.626669807959,277.24358594337
-0.2467086451281181,17.186759695010746,-3.1263902321312944,18.211714940588053,-0.21620053160049366,3.8995953916396484,6.766509720554018,-4.322594417546379,-3.4340013441919632,2.202548848771478,TSs2,1,612.38731956499,207.024987894394,106.912105658187,388.581296904685
-4.144929074965409,3.707025464847086,2.188394719915231,1.255328072520887,-1.741471897034121,5.262707965456773,5.009022051545035,-0.17899060811341508,-3.9737281459031095,2.8696870149365763,TSs44C,1,365.269118944607,267.85376612093,101.457318160292,319.709298882325
8.704241043070597,-3.9099380085872015,0.7473367502384294,3.484966593520334,-6.232770009512137,2.77444123393637,-2.9562226436877848,4.246854860829711,9.538474991484364,8.444487964260588,TSs201,1,444.766411760332,130.13385280449,204.841386725877,352.260513615858
9.496957945962597,-20.600544919697743,21.033416238335867,11.429781667916819,5.193389448436953,-2.7254590324301478,14.605372299330666,2.9417199571783845,9.035070989932107,-3.004558965395588,TSs217,1,650.649677652133,204.223149250866,129.634790939371,521.612935220157
-1.7968394421232885,-3.1633817728168574,-12.407324832237489,-4.049594988302091,-26.08659770159994,-18.790209159679403,19.65326883827363,-8.3867547121687,3.097380649967635,0.6298763205781992,TSs168,1,491.780246219773,115.190952605561,108.407802391138,143.130312354818
11.312819678811303,-6.5067178689752145,-0.43478327473944417,-9.658823572146437,7.9652204840631455,0.24494051887950233,-0.6171288268383779,-8.239058099338877,-4.58498486241941,-0.8170473207505042,TSs98,1,983.632105533015,129.490219976921,171.197251768599,376.805060174128
2.0654056551451694,-4.503280538910295,-14.022497295334206,-5.231528967417669,5.739423915831504,3.570289871788449,8.775714895425965,21.990728408087637,-23.516601720954043,-21.814198225738334,TSs116,1,568.449014225758,152.274167480188,89.9363188067058,439.132059185865
6.105887282212483,10.744600174940224,6.046667758143946,-10.802629114906395,-4.022638919069952,-9.38923194112074,-2.7616724246450692,0.6679746615941653,3.420501221944555,-9.632278199816419,TSs53,1,966.191745478736,169.133145633141,233.482231697613,377.2998781041
